state,last_changed
863,2025-09-19T04:02:07.659Z
854,2025-09-19T04:02:15.703Z
857,2025-09-19T04:02:17.673Z
863,2025-09-19T04:02:19.634Z
864,2025-09-19T04:02:21.601Z
869,2025-09-19T04:02:35.987Z
876,2025-09-19T04:02:37.963Z
874,2025-09-19T04:02:39.927Z
878,2025-09-19T04:02:43.866Z
877,2025-09-19T04:02:45.842Z
876,2025-09-19T04:02:47.807Z
875,2025-09-19T04:02:49.771Z
877,2025-09-19T04:02:57.822Z
878,2025-09-19T04:02:59.795Z
884,2025-09-19T04:03:01.762Z
888,2025-09-19T04:03:03.722Z
886,2025-09-19T04:03:07.667Z
883,2025-09-19T04:03:11.598Z
885,2025-09-19T04:03:19.639Z
888,2025-09-19T04:03:21.610Z
887,2025-09-19T04:03:23.581Z
882,2025-09-19T04:03:25.557Z
883,2025-09-19T04:03:27.527Z
885,2025-09-19T04:03:29.531Z
888,2025-09-19T04:03:31.503Z
892,2025-09-19T04:03:33.471Z
889,2025-09-19T04:03:41.508Z
888,2025-09-19T04:03:45.448Z
885,2025-09-19T04:03:47.420Z
888,2025-09-19T04:03:49.382Z
887,2025-09-19T04:03:51.355Z
888,2025-09-19T04:03:53.328Z
890,2025-09-19T04:03:55.288Z
894,2025-09-19T04:04:11.212Z
895,2025-09-19T04:04:13.218Z
893,2025-09-19T04:04:15.184Z
895,2025-09-19T04:04:17.151Z
893,2025-09-19T04:04:25.199Z
890,2025-09-19T04:04:27.174Z
891,2025-09-19T04:04:29.142Z
887,2025-09-19T04:04:31.146Z
890,2025-09-19T04:04:35.035Z
892,2025-09-19T04:04:37.016Z
894,2025-09-19T04:04:39.018Z
890,2025-09-19T04:04:53.941Z
891,2025-09-19T04:04:55.920Z
890,2025-09-19T04:04:57.892Z
892,2025-09-19T04:04:59.844Z
887,2025-09-19T04:05:09.876Z
884,2025-09-19T04:05:11.840Z
887,2025-09-19T04:05:15.773Z
888,2025-09-19T04:05:17.747Z
889,2025-09-19T04:05:21.666Z
890,2025-09-19T04:05:29.765Z
892,2025-09-19T04:05:31.703Z
895,2025-09-19T04:05:33.661Z
893,2025-09-19T04:05:35.617Z
895,2025-09-19T04:05:37.596Z
892,2025-09-19T04:05:39.569Z
893,2025-09-19T04:05:41.536Z
896,2025-09-19T04:05:43.498Z
897,2025-09-19T04:05:51.558Z
903,2025-09-19T04:05:53.535Z
904,2025-09-19T04:05:57.453Z
899,2025-09-19T04:06:01.387Z
897,2025-09-19T04:06:03.373Z
892,2025-09-19T04:06:05.324Z
891,2025-09-19T04:06:13.374Z
890,2025-09-19T04:06:17.331Z
885,2025-09-19T04:06:19.285Z
880,2025-09-19T04:06:21.251Z
876,2025-09-19T04:06:23.217Z
872,2025-09-19T04:06:25.211Z
862,2025-09-19T04:06:35.215Z
859,2025-09-19T04:06:37.182Z
854,2025-09-19T04:06:39.182Z
857,2025-09-19T04:06:41.152Z
851,2025-09-19T04:06:43.102Z
848,2025-09-19T04:06:45.083Z
847,2025-09-19T04:06:47.055Z
838,2025-09-19T04:07:04.815Z
